,uni_id,date,exchange,type,open,high,low,close,close_adj,volume,listed_date,de_listed_date
92424,IC2001,2020-01-02,ZJS,2,5300.0,5392.4,5281.0,5361.8,5368.8,68331,2020-01-02,2020-01-17
92425,IC2001,2020-01-03,ZJS,2,5375.4,5402.0,5358.0,5378.0,5385.0,56333,2020-01-02,2020-01-17
92426,IC2001,2020-01-06,ZJS,2,5360.2,5497.8,5357.6,5433.0,5418.2,78955,2020-01-02,2020-01-17
92427,IC2001,2020-01-07,ZJS,2,5443.0,5506.8,5438.6,5501.0,5488.8,68365,2020-01-02,2020-01-17
92428,IC2001,2020-01-08,ZJS,2,5480.4,5507.8,5405.2,5433.6,5432.6,79715,2020-01-02,2020-01-17
92429,IC2001,2020-01-09,ZJS,2,5477.6,5501.0,5449.2,5498.0,5482.4,68051,2020-01-02,2020-01-17
92430,IC2001,2020-01-10,ZJS,2,5514.8,5526.0,5446.0,5468.0,5477.4,65874,2020-01-02,2020-01-17
92431,IC2001,2020-01-13,ZJS,2,5471.8,5573.6,5436.0,5571.2,5545.2,73020,2020-01-02,2020-01-17
92432,IC2001,2020-01-14,ZJS,2,5589.8,5594.6,5537.0,5543.6,5554.0,55225,2020-01-02,2020-01-17
92433,IC2001,2020-01-15,ZJS,2,5533.0,5548.8,5489.4,5523.6,5534.8,54143,2020-01-02,2020-01-17
92434,IC2001,2020-01-16,ZJS,2,5531.8,5558.0,5514.8,5538.4,5532.6,39505,2020-01-02,2020-01-17
92435,IC2001,2020-01-17,ZJS,2,5551.6,5558.0,5505.4,5515.0,5515.93,18325,2020-01-02,2020-01-17
92436,IC2002,2020-01-02,ZJS,2,5288.2,5373.6,5268.4,5350.0,5359.2,2172,2020-01-02,2020-02-21
92437,IC2002,2020-01-03,ZJS,2,5371.8,5388.0,5345.2,5364.0,5372.6,1721,2020-01-02,2020-02-21
92438,IC2002,2020-01-06,ZJS,2,5351.0,5485.8,5341.8,5422.4,5407.8,2500,2020-01-02,2020-02-21
92439,IC2002,2020-01-07,ZJS,2,5435.2,5499.0,5425.4,5492.0,5477.4,3510,2020-01-02,2020-02-21
92440,IC2002,2020-01-08,ZJS,2,5454.4,5495.6,5394.8,5421.0,5420.6,5202,2020-01-02,2020-02-21
92441,IC2002,2020-01-09,ZJS,2,5466.0,5491.8,5437.6,5491.8,5470.4,4910,2020-01-02,2020-02-21
92442,IC2002,2020-01-10,ZJS,2,5495.2,5513.0,5430.6,5456.0,5467.6,6561,2020-01-02,2020-02-21
92443,IC2002,2020-01-13,ZJS,2,5467.0,5565.0,5427.4,5560.8,5537.2,9880,2020-01-02,2020-02-21
92444,IC2002,2020-01-14,ZJS,2,5585.8,5587.0,5531.6,5535.2,5545.0,13162,2020-01-02,2020-02-21
92445,IC2002,2020-01-15,ZJS,2,5520.0,5539.6,5482.0,5520.0,5527.8,21986,2020-01-02,2020-02-21
92446,IC2002,2020-01-16,ZJS,2,5521.0,5549.8,5510.2,5538.0,5526.4,37007,2020-01-02,2020-02-21
92447,IC2002,2020-01-17,ZJS,2,5547.0,5561.0,5486.4,5501.2,5516.2,63767,2020-01-02,2020-02-21
92448,IC2002,2020-01-20,ZJS,2,5517.0,5600.0,5493.0,5598.8,5588.8,60036,2020-01-02,2020-02-21
92449,IC2002,2020-01-21,ZJS,2,5572.2,5582.4,5495.4,5516.6,5523.6,68137,2020-01-02,2020-02-21
92450,IC2002,2020-01-22,ZJS,2,5495.0,5608.0,5421.0,5580.8,5584.8,77377,2020-01-02,2020-02-21
92451,IC2002,2020-01-23,ZJS,2,5510.0,5546.4,5299.8,5346.4,5339.2,91119,2020-01-02,2020-02-21
92452,IC2002,2020-02-03,ZJS,2,4805.4,4922.0,4805.4,4805.4,4805.4,49162,2020-01-02,2020-02-21
92453,IC2002,2020-02-04,ZJS,2,4900.0,4999.0,4820.0,4953.0,4965.2,79308,2020-01-02,2020-02-21
92454,IC2002,2020-02-05,ZJS,2,4988.8,5139.0,4986.0,5064.4,5062.0,83573,2020-01-02,2020-02-21
92455,IC2002,2020-02-06,ZJS,2,5075.0,5279.2,5048.6,5250.4,5242.6,89274,2020-01-02,2020-02-21
92456,IC2002,2020-02-07,ZJS,2,5228.4,5303.6,5200.0,5300.4,5276.6,83767,2020-01-02,2020-02-21
92457,IC2002,2020-02-10,ZJS,2,5271.0,5337.8,5256.0,5326.4,5320.4,74190,2020-01-02,2020-02-21
92458,IC2002,2020-02-11,ZJS,2,5341.0,5359.8,5282.0,5316.4,5329.6,71249,2020-01-02,2020-02-21
92459,IC2002,2020-02-12,ZJS,2,5303.0,5437.0,5300.6,5437.0,5423.2,72807,2020-01-02,2020-02-21
92460,IC2002,2020-02-13,ZJS,2,5431.4,5451.8,5371.4,5392.0,5399.6,75407,2020-01-02,2020-02-21
92461,IC2002,2020-02-14,ZJS,2,5388.8,5462.6,5363.0,5405.6,5390.8,73256,2020-01-02,2020-02-21
92462,IC2002,2020-02-17,ZJS,2,5440.0,5603.2,5435.0,5595.6,5581.6,70390,2020-01-02,2020-02-21
92463,IC2002,2020-02-18,ZJS,2,5590.4,5646.6,5565.2,5628.6,5620.4,70661,2020-01-02,2020-02-21
92464,IC2002,2020-02-19,ZJS,2,5622.0,5662.6,5591.0,5603.8,5608.6,53028,2020-01-02,2020-02-21
92465,IC2002,2020-02-20,ZJS,2,5625.0,5740.0,5576.0,5704.8,5696.4,40902,2020-01-02,2020-02-21
92466,IC2002,2020-02-21,ZJS,2,5697.6,5821.6,5697.2,5782.6,5782.59,17706,2020-01-02,2020-02-21
92467,IC2003,2020-01-02,ZJS,2,5269.6,5354.8,5256.6,5337.8,5341.8,16367,2020-01-02,2020-03-20
